k'ana	k'ana[NRoot][=metal_candente]
qhaswa	qhaswa[NRoot][=baile]
qharikuna	qhari[NRoot][=macho][--]kuna[Num][+Pl]
hakuchu	VRoot+2.Sg.Imp[--]chu[Amb][+Intr_Neg]
hakuchu	VRoot+2.Sg.Imp[--]chu[Amb][+Intr_Neg]
qhaswana	qhaswa[VRoot][=bailar][--]na[NS][+Obl]
patata	pata[NRoot][=arriba][--]ta[Cas][+Acc]
mana	mana[Part_Neg]
sawasqalla	sawa[VRoot][=casar][--]sqa[NS][+Perf][--]lla[Amb][+Lim_Aff]
qhaswaramusunchis	qhaswa[VRoot][=bailar][--]ra[VDeriv][+Rptn][--]mu[VDeriv][+Cis_Trs][--]sunchis[VPers][+1.Pl.Incl.Subj.Fut]
wasiyki	wasi[NRoot][=casa][--]yki[NPers][+2.Sg.Poss]
qhepapi	qhipa[NRoot][=atrás][--]pi[Cas][+Loc]
chunka	chunka[NRootNUM]
wallpa	wallpa[NRoot][=gallina]
runtun	runtu[VRoot][=poner_huevos][--]n[VPers][+3.Sg.Subj]
chunkantin	chunka[NRootNUM][--]ntin[Cas][+Iclsv]
inkayki	inka[NRoot][=inca][--]yki[NPers][+2.Sg.Poss]
qanpatapi	qan[PrnPers+2.Sg][--]pata[NRoot][=arriba][--]pi[Cas][+Loc]
runtun	runtu[VRoot][=poner_huevos][--]n[VPers][+3.Sg.Subj]
charangoy	charango[NRoot][=charango][--]y[NPers][+1.Sg.Poss]
kapuwan	ka[VRoot][=ser][--]pu[VDeriv][+Rgr_Iprs][--]wa[VPers][+1.Obj][--]n[VPers][+3.Sg.Subj]
llama	llama[NRoot][=llama]
qaramanta	qara[NRoot][=piel][--]manta[Cas][+Abl]
sapa	sapa[NRoot][=cada]
qhalqerispa	qhalqi[VRoot][=escarbar][--]ri[VDeriv][+Inch][--]spa[NS][+SS]
warmi	warmi[NRoot][=mujer]
suwanaypaq	suwa[VRoot][=robar][--]na[NS][+Obl][--]y[NPers][+1.Sg.Poss][--]paq[Cas][+Ben]
q'esanay	q'isa[NRoot][=nido][--]na[VS][+Reub][--]y[VPers][+2.Sg.Subj.Imp]
patapi	pata[	NRoot][=arriba][--]pi[Cas][+Loc]
tiyarachirayki	tiya[VRoot][=haber,estar,habitar,estar_sentado][--]ra[VDeriv][+Rptn][--]chi[VDeriv][+Caus][--]ra[Tns][+NPst][--]yki[VPers][+1.Sg.Subj_2.Sg.Obj]
sawakusun	sawa[VRoot][=casar][--]ku[VDeriv][+Rflx_Int][--]sun[VPers][+1.Pl.Incl.Subj.Fut]
nispa	ni[VRoot][=decir][--]spa[NS][+SS]
iñirachirayki	iñi[VRoot][=creer][--]ra[VDeriv][+Rptn][--]chi[VDeriv][+Caus][--]ra[Tns][+NPst][--]yki[VPers][+1.Sg.Subj_2.Sg.Obj]
qantachu	qan[PrnPers+2.Sg][--]ta[Cas][+Acc][--]chu[Amb][+Intr_Neg]
nirayki	ni[VRoot][=decir][--]ra[Tns][+NPst][--]yki[VPers][+1.Sg.Subj_2.Sg.Obj]
simi	simi[NRoot][=boca]
sapa	sapa[NRoot][=cada]
p'asña	p'asña[NRoot][=muchacha]
upallaspa	upa[VRoot][=lavarse_la_cara][--]lla[Amb][+Lim_Aff][--]spa[NS][+SS]
kanki	ka[VRoot][=ser][--]nki[VPers][+2.Sg.Subj]
kinray	kinra[VRoot][=cruzar][--]y[NS][+Inf]
siki	siki[NRoot][=trasero]
p'asña	p'asña[NRoot][=muchacha]
p'asñachay	p'asña[NRoot][=muchacha][--]cha[NDeriv][+Dim][--]y[NPers][+1.Sg.Poss]
chansallapis	chansa[NRoot][=broma][--]lla[Amb][+Lim_Aff][--]pi[Cas][+Loc][--]s[Amb][+IndE]
niyki	ni[VRoot][=decir][--]yki[VPers][+1.Sg.Subj_2.Sg.Obj]
chayñataq	chay[PrnDem][--]ña[Amb][+Disc][--]taq[Amb][+Con_Intr]
phiñarakapuwaq	phiña[VRoot][=enfurecerse][--]ra[VDeriv][+Rptn][--]ka[VDeriv][+Rflx_Int][--]pu[VDeriv][+Rgr_Iprs][--]waq[VPers][+2.Sg.Subj.Pot]
warmikuna	warmi[NRoot][=mujer][--]kuna[Num][+Pl]
mayuta	mayu[NRoot][=río][--]ta[Cas][+Acc]
chinpani	chimpa[VRoot][=atravesar][--]ni[VPers][+1.Sg.Subj]
ch'alla	ch'alla[NRoot][=vado_en_ríos]
ch'allallanta	ch'alla[NRoot][=vado_en_ríos][--]lla[Amb][+Lim_Aff][--]n[NPers][+3.Sg.Poss][--]ta[Cas][+Acc]
yanaytas	yana[NRoot][=negro][--]y[NPers][+1.Sg.Poss][--]ta[Cas][+Acc][--]s[Amb][+IndE]
maskhani	maskha[VRoot][=buscar][--]ni[VPers][+1.Sg.Subj]
wanlla	wanlla[NRoot][=producto_más_grande_en_la_cosecha]
wanllallanta	wanlla[NRoot][=producto_más_grande_en_la_cosecha][--]lla[Amb][+Lim_Aff][--]n[NPers][+3.Sg.Poss][--]ta[Cas][+Acc]
wasiyki	wasi[NRoot][=casa][--]yki[NPers][+2.Sg.Poss]
qhepapi	qhipa[NRoot][=atrás][--]pi[Cas][+Loc]
muru	muru[NRoot][=pelado]
khuchi	khuchi[NRoot][=chancho]
wachan	wacha[VRoot][=parir][--]n[VPers][+3.Sg.Subj]
pis	pi[PrnInterr][=quién][--]s[Amb][+IndE]
mana	mana[Part_Neg]
yachanchu	yacha[VRoot][=saber,habitar][--]n[VPers][+3.Sg.Subj][--]chu[Amb][+Intr_Neg]
khuchi	khuchi[NRoot][=chancho]
kasqaykita	ka[VRoot][=ser][--]sqa[NS][+Perf][--]yki[NPers][+2.Sg.Poss][--]ta[Cas][+Acc]
manas	mana[Part_Neg][--]s[Amb][+IndE]
munaymanchu	muna[VRoot][=querer][--]yman[VPers][+1.Sg.Subj.Pot][--]chu[Amb][+Intr_Neg]
sawasqa	sawa[VRoot][=casar][--]sqa[NS][+Perf]
qharita	qhari[NRoot][=macho][--]ta[Cas][+Acc]
ch'uñu	ch'uñu[NRoot][=chuño]
qara	qara[NRoot][=piel]
hina	hina[Part_Sim]
wasi	wasi[NRoot][=casa]
qhellichaqta	qhilli[NRoot][=sucio][--]chaq[NDeriv][+Aug][--]ta[Cas][+Acc]
anchhuway	anchhu[VRoot][=retirar][--]wa[VPers][+1.Obj][--]y[VPers][+2.Sg.Subj.Imp]
allinta	allin[NRoot][=bueno][--]ta[Cas][+Acc]
yana	yana[NRoot][=negro]
much'u	much'u[NRoot][=nuca]
maqt'a	maqt'a[NRoot][=joven]
wiñayraq	wiña[VRoot][=desarollar,crecer][--]y[VPers][+2.Sg.Subj.Imp][--]raq[Amb][+Cont]
allinta	alli[NRoot][=bueno][--]n[NPers][+3.Sg.Poss][--]ta[Cas][+Acc]
qhoña	qhuña[NRoot][=moco]
sapa	sapa[NRoot][=solo]
maqt'a	maqt'a[NRoot][=joven]
wichanallaykichus	wicha[VRoot][=subir][--]na[NS][+Obl][--]lla[Amb][+Lim_Aff][--]yki[NPers][+2.Sg.Poss][--]chu[Amb][+Intr_Neg][--]s[Amb][+IndE]
noqari	nuqa[PrnPers+1.Sg][--]ri[Amb][+QTop]
karani	ka[VRoot][=ser][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]
munasqayki	muna[VRoot][=querer][--]sqayki[VPers][+1.Sg.Subj_2.Sg.Obj.Fut]
pacha	pacha[NRoot][=ropa]
seqawanaykipaq	siqa[VRoot][=subir][--]wa[VPers][+1.Obj][--]na[NS][+Obl][--]yki[NPers][+2.Sg.Poss][--]paq[Cas][+Ben]
kaneña	kaneño+Adj+Fem+Sg
p'asñaqa	p'asña[NRoot][=muchacha][--]qa[Amb][+Top]
supaypuni	supay[NRoot][=diablo][--]puni[Amb][+Def]
kani	ka[VRoot][=ser][--]ni[VPers][+1.Sg.Subj]
supaypuni	supay[NRoot][=diablo][--]puni[Amb][+Def]
kani	ka[VRoot][=ser][--]ni[VPers][+1.Sg.Subj]
kaneña	kaneño+Adj+Fem+Sg
p'asñaqa	p'asña[NRoot][=muchacha][--]qa[Amb][+Top]
